coordinates,color,color_name
"(0, 0)","[[247, 247, 247]]",#f7f7f7
"(16, 0)","[[247, 247, 247]]",#f7f7f7
"(32, 0)","[[247, 247, 247]]",#f7f7f7
"(48, 0)","[[247, 247, 247]]",#f7f7f7
"(64, 0)","[[247, 247, 247]]",#f7f7f7
"(80, 0)","[[247, 247, 247]]",#f7f7f7
"(96, 0)","[[247, 247, 247]]",#f7f7f7
"(112, 0)","[[247, 247, 247]]",#f7f7f7
"(128, 0)","[[247, 247, 247]]",#f7f7f7
"(144, 0)","[[247, 247, 247]]",#f7f7f7
"(160, 0)","[[247, 247, 247]]",#f7f7f7
"(176, 0)","[[247, 247, 247]]",#f7f7f7
"(192, 0)","[[247, 247, 247]]",#f7f7f7
"(208, 0)","[[247, 247, 247]]",#f7f7f7
"(224, 0)","[[247, 247, 247]]",#f7f7f7
"(240, 0)","[[247, 247, 247]]",#f7f7f7
"(256, 0)","[[247, 247, 247]]",#f7f7f7
"(272, 0)","[[247, 247, 247]]",#f7f7f7
"(288, 0)","[[247, 247, 247]]",#f7f7f7
"(304, 0)","[[247, 247, 247]]",#f7f7f7
"(320, 0)","[[247, 247, 247]]",#f7f7f7
"(336, 0)","[[247, 247, 247]]",#f7f7f7
"(352, 0)","[[247, 247, 247]]",#f7f7f7
"(368, 0)","[[247, 247, 247]]",#f7f7f7
"(384, 0)","[[247, 247, 247]]",#f7f7f7
"(400, 0)","[[247, 247, 247]]",#f7f7f7
"(416, 0)","[[247, 247, 247]]",#f7f7f7
"(432, 0)","[[247, 247, 247]]",#f7f7f7
"(448, 0)","[[247, 247, 247]]",#f7f7f7
"(464, 0)","[[247, 247, 247]]",#f7f7f7
"(480, 0)","[[247, 247, 247]]",#f7f7f7
"(496, 0)","[[247, 247, 247]]",#f7f7f7
"(512, 0)","[[247, 247, 247]]",#f7f7f7
"(528, 0)","[[247, 247, 247]]",#f7f7f7
"(544, 0)","[[247, 247, 247]]",#f7f7f7
"(560, 0)","[[247, 247, 247]]",#f7f7f7
"(576, 0)","[[247, 247, 247]]",#f7f7f7
"(592, 0)","[[247, 247, 247]]",#f7f7f7
"(608, 0)","[[247, 247, 247]]",#f7f7f7
"(624, 0)","[[247, 247, 247]]",#f7f7f7
"(640, 0)","[[247, 247, 247]]",#f7f7f7
"(656, 0)","[[247, 247, 247]]",#f7f7f7
"(672, 0)","[[247, 247, 247]]",#f7f7f7
"(688, 0)","[[247, 247, 247]]",#f7f7f7
"(704, 0)","[[247, 247, 247]]",#f7f7f7
"(720, 0)","[[247, 247, 247]]",#f7f7f7
"(736, 0)","[[247, 247, 247]]",#f7f7f7
"(752, 0)","[[247, 247, 247]]",#f7f7f7
"(768, 0)","[[247, 247, 247]]",#f7f7f7
"(784, 0)","[[247, 247, 247]]",#f7f7f7
"(800, 0)","[[247, 247, 247]]",#f7f7f7
"(816, 0)","[[247, 247, 247]]",#f7f7f7
"(832, 0)","[[247, 247, 247]]",#f7f7f7
"(848, 0)","[[247, 247, 247]]",#f7f7f7
"(864, 0)","[[247, 247, 247]]",#f7f7f7
"(880, 0)","[[247, 247, 247]]",#f7f7f7
"(896, 0)","[[247, 247, 247]]",#f7f7f7
"(912, 0)","[[247, 247, 247]]",#f7f7f7
"(928, 0)","[[247, 247, 247]]",#f7f7f7
"(944, 0)","[[247, 247, 247]]",#f7f7f7
"(960, 0)","[[247, 247, 247]]",#f7f7f7
"(976, 0)","[[247, 247, 247]]",#f7f7f7
"(992, 0)","[[247, 247, 247]]",#f7f7f7
"(1008, 0)","[[247, 247, 247]]",#f7f7f7
"(1024, 0)","[[247, 247, 247]]",#f7f7f7
"(1040, 0)","[[247, 247, 247]]",#f7f7f7
"(1056, 0)","[[247, 247, 247]]",#f7f7f7
"(1072, 0)","[[247, 247, 247]]",#f7f7f7
"(1088, 0)","[[247, 247, 247]]",#f7f7f7
"(1104, 0)","[[247, 247, 247]]",#f7f7f7
"(1120, 0)","[[247, 247, 247]]",#f7f7f7
